IDX,TRANSLATION
,"Глаголы на -pre и -tre типа rompre и foutre получают t вместо d в форме «он» вы настоящем времени: rompre → il rompt, foutre → il fout. Справедливости ради надо сказать,что во втором случае эта «t» является частью основы и сохраняется и в других временах."
,Глаголы групы venir спрягаются со вспомогательным глаголом être. Глагол advenir используется только в 3-м лице единственного и множественного числа. Avenir использется только для образования существительного и прилагательного avenant.
,"Существует два варианта спряжения глагола vouloir, различающиеся, в частности, формой повелительного наклонения в первом лице: veux и veuille. Первый вариант используется крайне редко, разве что когда говорящий хочет продемонстрировать свою волю — veux le faire звучит как «соизволь это сделать». А форма veuille и, в третьем лице, veuillez используются, как формы вежливости: типичная фраза из письма: «Veuillez agréer, je vous prie, l'assurance de mes sentiments les plus distingués», — переводится, как: «Соблаговолите, пожалуйста, принять уверения в моих лучших чувствах». Как и у всего трех других глаголов pouvoir, valoir и faillir, у vouloir в 1-м и во 2-м лицах в indicatif présent стоит окончание -x: je veux, tu veux."
,"Хоть глагол pleuvoir безличный, его допустимо использовать во множественном числе в выражениях типа: les espèces pleuvent — деньги текут рекой, буквально «деньги дождят». Обратите внимание, что plaire и pleuvoir в форме «он» в subjonctif imparfait пишутся одинаково: qu'il plût."
," Всем своим видом глаголы répartir, assortir, réassortir и rassortir напоминают глаголы третьей группы (partir, sortir, вот это вот всё) — будьте бдительны: перед вами глаголы второй группы, и спрягаются они по типу finir!"
,"Глагол faire и иже с ним. Один из четырех самых неправильных французских глаголов. Подвох ждет вас уже в спряжении indicatif présent. Первые три лица выглядят пристойно и спрягаются как какой-нибудь приличный глагол 3-й группы. Но на этом всё и заканчивается и начинается сплошной обман. Форма «мы». Пишется: nous faisons. Подвох не заметен —надо просто знать: несмотря на то, что в этой форме стоит дифтонг ai, который в нормальной жизни читается, как [ɛ], именно это слово надо произносить, будто оно написано nous fesons, то есть произносить в этом месте «e» бузударную: [fəzɔ̃].  Спотыкаемся мы и в форме «мы»: vous faites — есть только три глагола с таким окончанием в этом месте: vous faites, vous êtes и vous dites. Это правило надо запомнить и повторять, как мантру — работает."
,Используется только форма il appert.
,"Occire — дефективный глагол, он используется только в инфинитиве и participe passé: occis."
,"Поскольку буква «c» во фравнцузском языке читается по-разному — перед e, i и y она дает звук [s], а перед a, o и u звук [k] — чтобы сохранить звучание, у этой буквы появляется «хвостик» ç, когда после нее идут o или u. Так спрягаются глаголы recevoir, apercevoir, concevoir, décevoir, percevoir."
,"Ouïr , который означает слушать, внимать (то же, что и entendre), на сегодня совершенно устарел. Он используется только в инфинитиве и в выражении ouï-dire, которое буквально означает «сказать услышанное», то есть слухи, с чужих слов. Абрам напел, одним словом :). Несмотря на свою участь забытого глагола, его бурная молодость отразилась аж в трех вариантах спряжения этого глагола в futur simple и в conditionnel présent!"
,"Parfaire употребляется в инфинитиве, в причастиях и составных временах."
,"Глагол третьей группы с трудной судьбой. В его спряжении в indicatif présent во множественном числе меняются гласные и появляется согласная, которая доезжает до формы «они». И если большинство глаголов в форме «я», «ты», «он» и в форме «они» звучат одинкаково, то у этого глагола там появляется дополнительный звук. А поскольку основа субжонктива берется именно из этой формы, то и субжонкти начинает звучать по-особому. Уже не отмажешься: если нужно было употребить субжонктив, а ты этого не сделал, это будет очевидно."
,"Poindre —дефективный глагол, он употребляется только в индикативе, и то не во всех временах."
,"Резонно было бы ожидать, что pourvoir будет спрягаться, как voir. И это почти так.  Там, где у voir вылезают неправильные формы, pourvoir ведет себя прилично:  futur simple /conditionnel: je pourvoirai(s) (у voir'а было: je verrai(s)), в passé simple : je pourvus (у voir'а: je vis) и в subjonctif imparfait: que je pourvus (у voir'а: que je visse)."
,"В эту группу входит глагол prendre и его производные — все они спрягаются по одинаковой схеме. Особенность ее такова, что если в indicatif présent в единственном числе мы имеем носовую гласную, то окончания множественного числа лишают ее этого свойства: буква «e» становится безударной и читается как [ə]. Кроме этого в форме «они» удваивается «nn», ударение снова падает на «e», но из-за удвоенной согласной носового звука не появляется. В результате в этой форме глагол звучит отлично от форм «я», «ты» и «он» (большинство глаголов в этих формах и в форме «они» звучат одинкаково). А поскольку основа субжонктива берется именно из этой формы, то и субжонктив начинает звучать по-особому. И уже не отбрехаться: если нужно было употребить субжонктив, а ты этого не сделал, уши будут торчать за версту. И еще одна особенность этого глагола: его основа заканчивается на букву «d», поэтому в форме «он» у него нет обычного для нее окончания -t; собственно, в этой форме у него вообще нет окончания — что мы и отметили в нашей таблице. Ну круто же!"
,Rassir (черстветь) используется только в инфинитиве и в participe passé: le pain rassis.
,Особенность спряжения глагола courir и его производных — это удвоение «r» в futur simple и в conditionnel présent : je cou<b>rr</b>ai... Похожим образом ведет себя mourir.
,У глагола mourir удваивается «r» в futur simple и в conditionnel présent: je mou<b>rr</b>ai... Похожим образом ведет себя courir. А еще mourir спрягается с être во всех временах.
,"Ressortir — это два глагола-омонима с совершенно разными значениями и более того — они разных групп. В значении <i>снова выходить; выступать; выдаваться; вытекать, следовать из…</i> (нам знакомо слово с этим корнем в русском языке: рессора) — этот глагол 3-й группы. А со значением <i>относиться к ведению, компетенции, входить в обязанности</i>  — он 2-й группы. Примеры: Il ressort de ces dossiers que le compte bancaire a été établi au nom d'AGL (Bernard Werber, La Revolution des Fourmis).  Ces affaires ressortissent à une autre juridiction..."
,"Revaloir существует только в infinitif, в futur и в conditionnel."
,"Глагол saillir во многих значениях вышел из употребления.  В оставшемся значении <i>выступать, выдаваться наружу</i> он спрягается по типу <a>href=""/conjugaison/assaillir/"">assaillir</a>. При этом в futur он образует: il saill<b>e</b>ra и ils saill<b>e</b>ront. В значении <i>совокупляться, спариваться</i>, он спрягается по типу finir."
,Спряжение глаголов envoyer et renvoyer — это два единственных исключения из спряжения глаголов на -oyer.
,Глаголы rire и sourire спрягается одинаково. Особенностью их спряжения является два i в 1 и 2 лицах множественного числа  в imparfait de l'indicatif и в présent du subjonctif.
,"Stupéfaire используется только в infinitif, в indicatif présent, в причастиях и в сложных временах в 3 лице единственного числа"
,"Глагол taire спрягается по той же схеме, что и plaire, но у taire нет циркумфлекса в présent de l'indicatif: il tait (ср.: il plaît). И еще у глаголов группы plaire не изменяется причастие прошедшего времени, а у taire, как у всех — изменяется."
,"Глаголы coudre, découdre и recoudre спрягаются по одной схеме. "
,"Глаголы moudre, émoudre и remoudre спрягаются по одной схеме."
,"Surseoir спрягается похожим образом как и asseoir — с той разницей, что буква e сохраняется в futur и в conditionnel: je surseoirai, je surseoirais. Реформа 1990 г. разрешает опускать e в инфинитиве (sursoir) и в других формах, от него образованных — futur simple и conditionnel présent: je sursoirai, je sursoirais."
,"У глагола bruire есть формы спряжения только в indicatif présent, imparfait, futur и conditionnel. Он означает <i>шуршать листьями</i>: Le vent bruit dans la forêt. Глагол bruisser дополняет bruire в остальных формах спряжения. Мы с Тамарой ходим парой, одним словом. Bruire спрягается по типу finir."
,"У всех глаголов на -cer появляется хвостик в букве ç перед гласными a и o чтобы сохранить звук [s]. Пишется vous prononcez, но nous prononçons.
."
," в спряжении глаголов на -cer перед гласными a и o появляется хвостик у буквы ç, чтобы сохранить ее звучание: nous commençons и tu commenças. Глаголы на -écer меняют é закрытое на è открытое перед последним немым слогом: Je rapièce. В futur и conditionnel эти глаголы сохраняют é закрытое: je rapiéçais и je rapièce — и это несмотря на распространенную тендецию произносить é все более открытым."
,"Messeoir — устаревший глагол, означающий <i>не подобать, не подходить, быть не к лицу</i> и существующий только в простых формах. А глагол seoir все еще используется в форме причастия в значении <i>располагаться</i>: la maison sise à Paris."
,"Устаревший глагол, используемый в форме chasse à courre (охота на оленей)."
,"Самая многочисленная группа французских глаголов — правильных глаголов на -er, которые спрягаются по одним и тем же правилам безо всяких экзотических случаев (а такие есть даже у правильных глаголов, не входщих в эту группу).  В общем довольно скучно, но хорошая новость в том, что их тут больше шести тысяч. Еще раз: 6000+.

Читайте подробнее <a href=""/lecons/lecon-2/#conjugaison_des_verbes_réguliers"">о спряжении правильных глаголов</a> и почему этого не надо бояться."
,"Группа глаголов на -ir II группы, спрягающаяся по типу finir. Единственное исключение — haïr, которое не попало в эту группу из-за своей экзотической буквы ï в окончании."
116,"Barder и boumer существуют только в безличной форме: ça barde и ça boume. Это единственных два таких глагола. Есть еще просторечный ça urge! — дело срочное!, это горит!"
119,Этот глагол используют только в инфинтиве
117,Этот глагол используют только в инфинтиве и participe passé.
122,"С этим глаголом дело обстоит  так же, как и с прочими производными формами от mettre. С одним исключением: этот глагол имеет только формы множественного числа."
123,Глагол forclore используют только в инфинитиве и в participe passé: forclos.
124,Глагол forfaire используют только в инфинитиве и в составных временах.
118,"Глагол chauvir сегодня полностью устарел и используется в этих выражениях: chauvir de l'oreille, chauvir des oreilles — поводить ушами (о лошади, осле, муле), навострить уши."
120,"Местоименные глаголы, начинающиеся на entr- не имеют смысла в единственном числе, т.к. для взаимодействия нужны два субъекта. Это допускается, т.к. он указывает на несколько лиц. А в остальном спрягается, как и глагол без этой приставки."
121,Ставят хвостик (cédille) под ç всякий раз. когда следом идут o или u. Entrapercevoir спрягается только во множественных формах.
125,"Recroître спрягается по типу accroître за исключением того, что он сохраняет циркумфлекс в формах participe passé: recrû, recrûe, recrûes et recrûs. Хорошая новость: реформа 1990 г. разрешает опутисть эту крышку во всех формах: и в инфинитиве (recroitre), и, как следствие, в формах futur simple и conditionnel présent, где в качестве основы используется инфинитив. "
126,"Глагол <b>convenir</b> в возвратной форме — se convenir — относится к немногочисленной группе глаголов, у которых в составных временах форма причастия не изменяется ни в женском роде, ни во множественном числе. Этому есть объяснение — читайте его в комментарии к глаголу <a href=""/conjugaison/parler/"">parler<a>."
127,"Parler входит в самую многочисленную группу французских глаголов — правильных глаголов на -er, которые спрягаются по одним и тем же правилам безо всяких экзотических случаев (а такие есть даже у правильных глаголов, не входщих в эту группу). Хорошая новость заключается в том, что таких глаголов больше шести тысяч. Еще раз: 6000+.

Казалось бы, на этом можно расслабиться. <b><span style=""color:#f28b1a"">НО ЕСТЬ НЮАНС!</span></b> (с)

Вы будете удивлены, но именно <b>parler</b>, этот классический представитель правильных глаголов, можно сказать, <i>эталон правильности</i> (да, пожалуй, самый известный нашим людям французский глагол) — он оказался членом одного очень немногочисленного элитного тайного общества глаголов-исключений. И дело вот в чем.

Возвратные глаголы (а parler допускает возвратную форму: se parler) обычно при спряжении в составных временах согласуются в роде и числе с подлежащим. Например: elles se sont lav<b><span style=""color:#f28b1a"">ées</span></b> (оне, барышни, умылись). Если у глагола появляется прямое дополнение, то согласования не происходит: elles se sont lav<b><span style=""color:#f28b1a"">é</span></b> les mains (они помыли себе руки).

Но есть всего пара десятков глаголов, которые не допускают после себя прямого дополнения и <b>в составных временах в возвратной форме</b> согласуются не с подлежащим, а (sic!) <i>с возвратным местоимением</i>, которое выполняет в этом случае роль косвенного дополнения при глаголе. А это значит, что <b>они остаются неизменными во всех лицах и числах</b>.

Так вот: parler — из числа таких исключений!

В самом деле, после parler невозможно поставить прямоге дополнение: нельзя разговаривать «что» — можно с кем-то, о чем-то, но не «что-то».

Разберем на примере и посмотрим, как работает такое слгласование с возвратным местоимением у se parler.

Ell<b><span style=""color:#f28b1a"">es</span></b> se sont parl<b><span style=""color:#f28b1a"">é</span></b> toute la soirée. Вы заметили? Не parl<b><span style=""color:#f28b1a"">ées</span></b>, чего можно было бы ожидать, потому как подлежащие стоит в женском роде множественного числа, а parl<b><span style=""color:#dd7d18"">é</span></b>! Зададим вопрос: parlé <b><span style=""color:#f28b1a"">à</span></b> qui ? Ответ: <i>à «se»</i>. На русский мы это переведем как «друг с другом»: они проболтали весь вечер → проболтали с кем? → <i>друг с другом</i>. Вот этим «друг с другом» и является здесь то самое местоимение se, с которым и происходит согласование, а не с подлежащим elles («оне» — они, барышни).

Резонно, что к числу таких глаголов-исключений относится и téléphoner — всё тот же parler, только по телефону. Так же ведут себя <a href=""/conjugaison/rire/"">rire</a>, <a href=""/conjugaison/sourire/"">sourire</a>, <a href=""/conjugaison/convenir/"">convenir</a>.

Читайте подробнее <a href=""/lecons/lecon-2/#conjugaison_des_verbes_réguliers"">о спряжении правильных глаголов</a> и почему этого не надо бояться. Если что-то не понятно, не стесняйтесь задавать вопросы <a href=""/forum/"">на форуме</a> — ответим быстро!"
128,"Глагол téléphoner входит в самую многочисленную группу французских глаголов — правильных глаголов на -er, которые спрягаются по одним и тем же правилам безо всяких экзотических случаев (а такие есть даже у правильных глаголов, не входщих в эту группу). Хорошая новость заключается в том, что таких глаголов больше шести тысяч. Еще раз: 6000+.

Téléphoner в возвратной форме — se téléphoner — относится к немногочисленной группе глаголов, у которых в составных временах форма причастия не изменяется ни в женском роде, ни во множественном числе. Этому есть объяснение — читайте его в комментарии к глаголу <a href=""/conjugaison/parler/"">parler<a>."
129,"Глаголы на -ébrer, -écer, -écher, -écrer, -éder, -égler, -égner, -égrer, -éguer, -éler, -émer, -éner, -équer, -érer, -éser, -éter, -étrer, -évrer, -éyer — их всех объединяет закрытое é в передпоследнем слоге. Они меняют é закрытое на è открытое перед последним немым слогом: gérer → je gère. В futur и в conditionnel эти глаголы сохраняют закрытое é: gérer → je gérerai, je gérais, и это несмотря на тендецию произносить é все более открыто. Новая орфорграфия 1990 года позволяет писать è, чтобы отразить эту тенденцию: je gèrerai, je gèrerais, поэтому у этих глаголов здесь представлено два варианта спряжения.

<b>Обратите внимание</b>, что у глагола succéder причастие прошедшего времени — succédé — не меняется в женском роде и множественном числе."
130,"Глагол ressembler входит в самую многочисленную группу французских глаголов — правильных глаголов на -er, которые спрягаются по одним и тем же правилам безо всяких экзотических случаев (а такие есть даже у правильных глаголов, не входщих в эту группу). Хорошая новость заключается в том, что таких глаголов больше шести тысяч. Еще раз: 6000+.

<b>Обратите внимание</b>, что у глагола ressembler причастие прошедшего времени — ressemblé — не меняется в женском роде и множественном числе."
